,GEX-75,GEX-238,GEX-272,GEX-274,GEX-280,GEX-281,GEX-282,GEX-285,GEX-337,GEX-475,GEX-510,GEX-516,GEX-566,GEX-579,GEX-644,GEX-752,GEX-783,GEX-954,GEX-1049,GEX-1434,GEX-1566,GEX-1731
AtrialCardiomyocytesLeft,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AtrialCardiomyocytesRight,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AtrioventricularNodeCardiomyocytes,0.0,,,0.0,,0.0,1.0,,,0.0,,,,,,,,,0.0,,0.0,
Neural,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0
SinoatrialNodeCardiomyocytes,1.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,,0.0,0.0,,1.0,0.0,,1.0,
VentricularCardiomyocytesLeftCompact,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VentricularCardiomyocytesLeftTrabeculated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VentricularCardiomyocytesRightCompact,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VentricularCardiomyocytesRightTrabeculated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VentricularConductionSystemDistal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VentricularConductionSystemProximal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
